battery_power,px_height,px_width,ram,price_range,C1_pred,C2_prob,Ano,Mes,Mes_Numero,satisfacao,pontuacao,pontuacao_geral,indice_qualidade_preco,legenda_price_range,legenda_satisfacao
688,426,1964,3745,2,2,99,2021,Novembro,11,3,4021.7,2,2,alto,alta
1991,1058,1325,1733,2,2,99,2022,Dezembro,12,1,2404.26,1,1,alto,pouco
1936,570,1021,1400,1,1,0,2022,Julho,7,1,1946.73,1,1,baixo,pouco
635,193,989,2107,1,1,0,2020,Maio,5,2,2279.81,1,1,baixo,media
1068,994,1500,1436,1,1,0,2023,Outubro,10,1,1978.0200000000002,1,1,baixo,pouco
1663,831,1439,2084,2,2,99,2019,Novembro,11,1,2647.9300000000003,1,1,alto,pouco
868,276,1026,1653,1,1,0,2023,Abril,4,1,1927.54,1,1,baixo,pouco
1616,151,1133,657,1,1,0,2021,Outubro,10,1,1152.42,1,1,baixo,pouco
851,788,1007,1005,1,1,0,2021,Agosto,8,1,1411.58,1,1,baixo,pouco
1472,1452,1744,985,1,1,0,2022,Março,3,3,1764.08,1,2,baixo,alta
1321,817,941,1464,1,1,0,2022,Março,3,3,1915.5500000000002,1,2,baixo,alta
1773,1215,1472,3566,2,2,99,2021,Fevereiro,2,2,4103.820000000001,2,2,alto,media
1821,97,1803,2430,2,2,99,2020,Julho,7,1,2940.6499999999996,1,1,alto,pouco
1001,922,1836,3654,2,2,99,2022,Dezembro,12,3,4057.4500000000003,2,2,alto,alta
1754,199,1452,3019,2,2,99,2023,Agosto,8,2,3420.45,2,2,alto,media
948,257,1654,3499,2,2,99,2023,Setembro,9,3,3757.1499999999996,2,2,alto,alta
1619,813,1180,464,1,1,0,2023,Maio,5,1,1096.9,1,1,baixo,pouco
1689,467,675,2637,2,2,99,2019,Janeiro,1,1,2954.59,1,1,alto,pouco
603,1842,1968,604,1,1,0,2019,Novembro,11,2,1357.3100000000002,1,1,baixo,media
1762,643,790,1380,1,1,0,2020,Setembro,9,1,1863.7900000000002,1,1,baixo,pouco
598,118,764,3066,2,2,98,2021,Outubro,10,1,3099.5600000000004,2,2,alto,pouco
1730,418,1023,1595,1,1,0,2023,Julho,7,3,2061.53,1,2,baixo,alta
1271,1350,1949,445,1,1,0,2022,Fevereiro,2,1,1250.7,1,1,baixo,pouco
1788,472,1073,2655,2,2,99,2019,Abril,4,2,3066.43,2,2,alto,media
1617,274,1079,2754,2,2,99,2023,Julho,7,2,3092.5,2,2,alto,media
1956,185,776,1109,1,1,0,2019,Setembro,9,1,1570.81,1,1,baixo,pouco
1872,672,1088,2273,2,2,99,2019,Agosto,8,1,2767.8,1,1,alto,pouco
1207,406,681,503,1,1,0,2020,Dezembro,12,1,890.5,1,1,baixo,pouco
1144,159,724,3252,2,2,99,2019,Dezembro,12,1,3373.79,2,2,alto,pouco
1272,605,669,2235,1,1,13,2020,Abril,4,1,2527.84,1,1,baixo,pouco
1384,983,1210,1221,1,1,0,2021,Setembro,9,2,1783.29,1,1,baixo,media
1933,229,1473,838,1,1,0,2023,Fevereiro,2,1,1457.03,1,1,baixo,pouco
530,48,1012,959,1,1,0,2021,Maio,5,2,1183.42,1,1,baixo,media
1201,306,558,495,1,1,0,2021,Novembro,11,1,841.63,1,1,baixo,pouco
1510,118,1170,887,1,1,0,2021,Outubro,10,2,1345.3000000000002,1,1,baixo,media
553,325,902,1204,1,1,0,2020,Fevereiro,2,2,1439.38,1,1,baixo,media
1270,1512,1716,3299,2,2,99,2020,Abril,4,3,3859.46,2,2,alto,alta
605,160,1026,392,1,1,0,2023,Agosto,8,2,697.73,1,1,baixo,media
1524,184,740,1936,1,1,0,2023,Janeiro,1,3,2242.5600000000004,1,2,baixo,alta
1317,431,542,425,1,1,0,2023,Fevereiro,2,1,817.48,1,1,baixo,pouco
1526,718,751,2227,2,2,94,2019,Junho,6,2,2603.53,1,2,alto,media
675,482,874,2953,2,2,99,2020,Agosto,8,3,3093.01,2,2,alto,alta
1519,168,1239,2912,2,2,99,2023,Abril,4,2,3231.62,2,2,alto,media
1170,474,709,715,1,1,0,2022,Outubro,10,1,1095.39,1,1,baixo,pouco
1000,461,833,862,1,1,0,2021,Janeiro,1,1,1219.68,1,1,baixo,pouco
603,1003,1284,1543,1,1,0,2023,Agosto,8,2,1948.6000000000004,1,1,baixo,media
1807,1332,1814,1069,1,1,0,2022,Maio,5,1,1897.91,1,1,baixo,pouco
626,737,1759,1077,1,1,0,2022,Setembro,9,3,1569.2800000000002,1,2,baixo,alta
1134,18,903,3632,2,2,99,2019,Outubro,10,2,3731.53,2,2,alto,media
1065,188,928,3078,2,2,99,2021,Março,3,3,3242.3900000000003,2,2,alto,alta
1592,510,522,2103,1,1,8,2019,Maio,5,3,2423.12,1,2,baixo,alta
1694,377,549,2298,2,2,92,2019,Março,3,3,2604.4200000000005,1,2,alto,alta
1456,815,1666,3998,2,2,99,2019,Junho,6,2,4409.89,2,2,alto,media
1488,1528,1647,3054,2,2,99,2023,Junho,6,1,3665.09,2,2,alto,pouco
1786,231,1671,2764,2,2,99,2022,Junho,6,2,3238.98,2,2,alto,media
911,461,670,363,1,1,0,2022,Junho,6,3,712.72,1,2,baixo,alta
1497,98,977,3696,2,2,99,2022,Novembro,11,2,3887.04,2,2,alto,media
625,203,1771,2929,2,2,99,2021,Junho,6,3,3184.4300000000003,2,2,alto,alta
1416,1175,1578,3872,2,2,99,2021,Abril,4,3,4330.85,2,2,alto,alta
1520,151,1005,3826,2,2,99,2023,Fevereiro,2,2,4025.34,2,2,alto,media
909,410,1643,1244,1,1,0,2019,Março,3,1,1699.06,1,1,baixo,pouco
798,526,643,2965,2,2,99,2022,Maio,5,1,3091.01,2,2,alto,pouco
1849,978,1986,3330,2,2,99,2022,Janeiro,1,3,3958.51,2,2,alto,alta
994,296,839,3104,2,2,99,2019,Dezembro,12,1,3254.2700000000004,2,2,alto,pouco
695,789,1211,2282,1,1,6,2019,Janeiro,1,3,2595.71,1,2,baixo,alta
1986,282,1358,1614,1,1,6,2022,Fevereiro,2,3,2168.1800000000003,1,2,baixo,alta
1349,212,623,2367,1,1,22,2022,Novembro,11,3,2588.3599999999997,1,2,baixo,alta
1572,1109,1937,2462,2,2,99,2019,Julho,7,3,3120.2799999999997,2,2,alto,alta
1202,404,1742,595,1,1,0,2023,Abril,4,2,1175.44,1,1,baixo,media
1197,214,1710,2885,2,2,99,2020,Abril,4,2,3242.9100000000003,2,2,alto,media
930,1017,1289,2016,1,1,4,2019,Novembro,11,2,2449.2200000000003,1,1,baixo,media
823,1180,1350,3894,2,2,99,2020,Junho,6,1,4195.95,2,2,alto,pouco
723,1467,1901,2339,2,2,99,2023,Julho,7,3,2899.83,1,2,alto,alta
1822,172,910,2577,2,2,99,2023,Dezembro,12,3,2919.1600000000003,1,2,alto,alta
577,1087,1450,814,1,1,0,2022,Abril,4,3,1318.8000000000002,1,2,baixo,alta
1779,1225,1717,1246,1,1,2,2022,Abril,4,1,2018.81,1,1,baixo,pouco
808,119,529,1082,1,1,0,2019,Junho,6,2,1269.7,1,1,baixo,media
1503,841,1304,2122,2,2,99,2022,Maio,5,1,2628.54,1,1,alto,pouco
763,273,1278,2865,2,2,99,2022,Março,3,2,3070.0,2,2,alto,media
667,272,870,3566,2,2,99,2023,Novembro,11,1,3618.9900000000002,2,2,alto,pouco
1922,725,1882,3564,2,2,99,2019,Julho,7,1,4124.89,2,2,alto,pouco
1264,562,849,419,1,1,0,2023,Julho,7,1,882.49,1,1,baixo,pouco
1884,451,819,3619,2,2,99,2020,Agosto,8,3,3919.7200000000003,2,2,alto,alta
1273,490,886,1767,1,1,0,2021,Abril,4,1,2119.15,1,1,baixo,pouco
1362,553,1505,995,1,1,0,2023,Agosto,8,2,1554.14,1,1,baixo,media
1476,1641,1666,1529,2,2,81,2022,Julho,7,1,2282.63,1,1,alto,pouco
846,1140,1983,2248,2,2,99,2020,Dezembro,12,1,2799.4700000000003,1,1,alto,pouco
1778,1028,1445,3941,2,2,99,2020,Abril,4,1,4412.85,2,2,alto,pouco
1674,1432,1649,2030,2,2,99,2019,Novembro,11,1,2742.41,1,1,alto,pouco
1438,683,1663,869,1,1,0,2020,Fevereiro,2,1,1504.7800000000002,1,1,baixo,pouco
1697,88,1046,441,1,1,0,2020,Novembro,11,3,941.85,1,2,baixo,alta
714,1750,1857,1164,1,1,0,2019,Maio,5,1,1856.8700000000001,1,1,baixo,pouco
618,879,896,2399,1,1,4,2019,Outubro,10,3,2644.17,1,2,baixo,alta
1189,379,932,893,1,1,0,2022,Janeiro,1,1,1288.98,1,1,baixo,pouco
1163,520,754,2768,2,2,99,2019,Novembro,11,2,2999.19,1,2,alto,media
1216,1852,1967,2268,2,2,99,2021,Fevereiro,2,3,3006.17,2,2,alto,alta
1581,693,850,1384,1,1,0,2023,Agosto,8,3,1852.98,1,2,baixo,alta
1927,491,1506,2916,2,2,99,2020,Abril,4,3,3418.46,2,2,alto,alta
623,484,1238,1769,1,1,0,2023,Maio,5,2,2063.35,1,1,baixo,media
1510,708,1752,3484,2,2,99,2023,Setembro,9,2,3945.42,2,2,alto,media
600,486,1032,3495,2,2,99,2020,Dezembro,12,2,3608.1000000000004,2,2,alto,media
589,759,1858,362,1,1,0,2020,Maio,5,2,927.0,1,1,baixo,media
1283,1135,1923,3957,2,2,99,2023,Abril,4,3,4442.53,2,2,alto,alta
1994,86,1546,1836,2,2,91,2023,Agosto,8,2,2376.34,1,2,alto,media
1809,639,721,2324,2,2,99,2022,Julho,7,2,2727.41,1,2,alto,media
1766,291,1318,3297,2,2,99,2023,Setembro,9,2,3668.67,2,2,alto,media
1414,262,829,3799,2,2,99,2023,Fevereiro,2,1,3965.79,2,2,alto,pouco
1988,153,696,3144,2,2,99,2020,Outubro,10,1,3428.45,2,2,alto,pouco
1350,369,544,2287,1,1,7,2022,Agosto,8,1,2526.63,1,1,baixo,pouco
1869,163,874,1375,1,1,0,2020,Fevereiro,2,1,1813.88,1,1,baixo,pouco
826,179,786,2863,2,2,97,2019,Fevereiro,2,3,2970.67,1,2,alto,alta
1504,19,1923,3059,2,2,99,2022,Outubro,10,3,3468.6400000000003,2,2,alto,alta
1802,253,590,696,1,1,0,2022,Julho,7,3,1137.81,1,2,baixo,alta
811,333,1429,2111,1,1,0,2020,Maio,5,3,2424.33,1,2,baixo,alta
586,785,1118,1869,1,1,0,2022,Novembro,11,2,2176.69,1,1,baixo,media
1944,1060,1970,584,1,1,0,2019,Maio,5,3,1461.14,1,2,baixo,alta
1530,454,1975,725,1,1,0,2020,Abril,4,1,1410.13,1,1,baixo,pouco
831,511,621,1704,1,1,0,2019,Abril,4,1,1930.43,1,1,baixo,pouco
732,1163,1554,3681,2,2,99,2020,Agosto,8,3,4018.5699999999997,2,2,alto,alta
1676,134,1197,2515,2,2,99,2022,Fevereiro,2,3,2882.4500000000003,1,2,alto,alta
1158,311,1796,1542,1,1,0,2021,Outubro,10,1,2032.77,1,1,baixo,pouco
1362,600,1042,3629,2,2,99,2021,Agosto,8,3,3897.4400000000005,2,2,alto,alta
1122,1578,1963,1402,1,1,1,2022,Setembro,9,2,2144.25,1,1,baixo,media
1813,338,1306,759,1,1,0,2020,Novembro,11,3,1348.3500000000001,1,2,baixo,alta
990,1466,1717,2698,2,2,99,2022,Setembro,9,1,3245.7100000000005,2,2,alto,pouco
1841,593,672,2304,2,2,99,2022,Novembro,11,2,2697.96,1,2,alto,media
1485,371,1023,3241,2,2,99,2022,Janeiro,1,3,3521.3100000000004,2,2,alto,alta
825,540,783,716,1,1,0,2023,Novembro,11,3,1056.04,1,2,baixo,alta
1464,854,1168,3927,2,2,99,2023,Junho,6,1,4258.1,2,2,alto,pouco
1642,1686,1889,1333,2,2,82,2023,Junho,6,3,2183.87,1,2,alto,alta
1470,1790,1988,1633,2,2,99,2019,Janeiro,1,2,2463.6800000000003,1,2,alto,media
1461,1265,1298,3799,2,2,99,2022,Fevereiro,2,3,4234.34,2,2,alto,alta
1540,318,831,1161,1,1,0,2020,Maio,5,2,1572.67,1,1,baixo,media
1695,308,1208,1629,1,1,0,2023,Janeiro,1,3,2102.61,1,2,baixo,alta
1312,1233,1854,1087,1,1,0,2022,Abril,4,3,1811.19,1,2,baixo,alta
1763,138,806,2066,1,1,19,2020,Agosto,8,3,2412.29,1,2,baixo,alta
730,302,1247,1210,1,1,0,2019,Março,3,1,1540.17,1,1,baixo,pouco
1154,541,1499,978,1,1,0,2020,Maio,5,2,1495.8,1,1,baixo,media
909,290,773,594,1,1,0,2020,Abril,4,2,915.36,1,1,baixo,media
805,1262,1538,3647,2,2,99,2020,Dezembro,12,2,4014.9500000000003,2,2,alto,media
1199,1168,1552,3448,2,2,99,2022,Fevereiro,2,3,3893.4100000000003,2,2,alto,alta
1412,2,660,1853,1,1,0,2022,Dezembro,12,3,2098.7799999999997,1,2,baixo,alta
1263,409,644,3372,2,2,99,2021,Setembro,9,1,3534.1000000000004,2,2,alto,pouco
1632,706,1623,2614,2,2,99,2022,Julho,7,2,3143.3500000000004,2,2,alto,media
989,46,1069,1737,1,1,0,2021,Novembro,11,2,1996.88,1,1,baixo,media
1949,837,1182,832,1,1,0,2023,Maio,5,3,1502.6200000000001,1,2,baixo,alta
1972,293,952,1316,1,1,0,2019,Abril,4,3,1816.0900000000001,1,2,baixo,alta
1062,798,1435,911,1,1,0,2022,Outubro,10,1,1448.21,1,1,baixo,pouco
513,619,867,1343,1,1,0,2019,Fevereiro,2,2,1602.9899999999998,1,1,baixo,media
1426,715,1163,1356,1,1,0,2021,Agosto,8,1,1860.98,1,1,baixo,pouco
508,39,557,663,1,1,0,2022,Dezembro,12,1,818.94,1,1,baixo,pouco
633,709,1915,1401,1,1,0,2020,Junho,6,1,1893.5700000000002,1,1,baixo,pouco
1172,607,1092,1477,1,1,0,2021,Julho,7,2,1892.19,1,1,baixo,media
1333,394,1301,3442,2,2,99,2019,Setembro,9,1,3734.0800000000004,2,2,alto,pouco
793,818,1006,2296,1,1,7,2020,Outubro,10,2,2593.19,1,1,baixo,media
1949,951,1178,356,1,1,0,2021,Abril,4,1,1083.32,1,1,baixo,pouco
1824,1055,1738,2381,2,2,99,2019,Maio,5,2,3046.65,2,2,alto,media
991,1209,1678,2014,2,2,91,2020,Abril,4,2,2565.52,1,2,alto,media
1109,124,833,2785,2,2,99,2022,Março,3,2,2952.26,1,2,alto,media
864,262,1436,493,1,1,0,2021,Dezembro,12,2,935.0999999999999,1,1,baixo,media
1066,1242,1571,468,1,1,0,2020,Agosto,8,3,1142.73,1,2,baixo,alta
1996,937,1083,1258,1,1,0,2023,Junho,6,2,1901.66,1,1,baixo,media
1057,397,891,2033,1,1,0,2022,Dezembro,12,1,2307.9700000000003,1,1,baixo,pouco
676,864,1011,2064,1,1,0,2022,Novembro,11,3,2366.29,1,2,baixo,alta
1225,840,982,1970,1,1,1,2023,Junho,6,1,2374.53,1,1,baixo,pouco
1696,179,772,523,1,1,0,2021,Outubro,10,3,980.51,1,2,baixo,alta
1983,370,1197,3897,2,2,99,2022,Setembro,9,1,4252.34,2,2,alto,pouco
848,56,527,2289,1,1,0,2020,Abril,4,2,2376.65,1,1,baixo,media
592,332,970,1507,1,1,0,2021,Junho,6,2,1739.66,1,1,baixo,media
1855,267,1161,3933,2,2,99,2023,Dezembro,12,3,4236.79,2,2,alto,alta
753,606,1316,3484,2,2,99,2022,Dezembro,12,1,3701.4100000000003,2,2,alto,pouco
885,769,802,1410,1,1,0,2019,Outubro,10,2,1748.46,1,1,baixo,media
1602,466,788,1037,1,1,0,2022,Dezembro,12,3,1487.3600000000001,1,2,baixo,alta
1872,1546,1879,2419,2,2,99,2020,Junho,6,1,3200.99,2,2,alto,pouco
1872,459,1259,1955,2,2,97,2019,Novembro,11,3,2471.5200000000004,1,2,alto,alta
1142,534,855,663,1,1,0,2022,Junho,6,1,1080.17,1,1,baixo,pouco
983,1001,1176,1389,1,1,0,2020,Março,3,2,1858.2600000000002,1,1,baixo,media
1804,1158,1244,3472,2,2,99,2020,Março,3,1,3970.2200000000003,2,2,alto,pouco
593,1233,1317,1692,1,1,0,2020,Agosto,8,1,2129.15,1,1,baixo,pouco
796,174,518,1075,1,1,0,2022,Agosto,8,2,1268.24,1,1,baixo,media
1010,547,957,2625,2,2,99,2022,Abril,4,1,2881.7200000000003,1,1,alto,pouco
1731,809,1988,3892,2,2,99,2019,Agosto,8,2,4424.780000000001,2,2,alto,media
1945,1064,1540,3322,2,2,99,2021,Novembro,11,2,3899.2700000000004,2,2,alto,media
936,657,938,2049,1,1,0,2019,Fevereiro,2,1,2352.83,1,1,baixo,pouco
781,304,1674,3508,2,2,99,2021,Maio,5,3,3745.4900000000002,2,2,alto,alta
1225,217,1101,2675,2,2,99,2022,Novembro,11,2,2939.83,1,2,alto,media
1982,287,593,1824,1,1,1,2019,Dezembro,12,2,2216.12,1,1,baixo,media
984,56,1931,2013,1,1,1,2020,Junho,6,1,2415.33,1,1,baixo,pouco
1190,1417,1441,624,1,1,0,2020,Agosto,8,2,1314.8600000000001,1,1,baixo,media
1143,1116,1724,1214,1,1,0,2019,Maio,5,3,1851.3300000000002,1,2,baixo,alta
1872,286,1484,2295,2,2,99,2020,Junho,6,3,2797.66,1,2,alto,alta
1068,322,875,1209,1,1,0,2019,Janeiro,1,3,1536.19,1,2,baixo,alta
1688,650,864,3984,2,2,99,2021,Agosto,8,1,4260.66,2,2,alto,pouco
1567,545,1621,2312,2,2,99,2020,Novembro,11,3,2825.41,1,2,alto,alta
733,202,1787,2648,2,2,99,2022,Maio,5,2,2949.3,1,2,alto,media
1851,293,1967,735,1,1,0,2019,Dezembro,12,2,1451.43,1,1,baixo,media
1002,285,512,961,1,1,0,2023,Abril,4,2,1220.23,1,1,baixo,media
648,931,1811,819,1,1,0,2023,Agosto,8,1,1378.96,1,1,baixo,pouco
1278,1352,1775,3141,2,2,99,2019,Outubro,10,1,3699.63,2,2,alto,pouco
1982,764,1873,3511,2,2,99,2020,Julho,7,1,4092.4500000000003,2,2,alto,pouco
1314,82,512,3411,2,2,99,2023,Outubro,10,3,3499.0000000000005,2,2,alto,alta
1638,440,563,2299,2,2,91,2020,Dezembro,12,1,2608.0699999999997,1,1,alto,pouco
645,327,580,2962,2,2,94,2019,Dezembro,12,2,3013.38,2,2,alto,media
513,282,710,3400,2,2,99,2023,Junho,6,3,3408.31,2,2,alto,alta
625,635,842,3323,2,2,99,2020,Abril,4,3,3443.84,2,2,alto,alta
959,1313,1331,3073,2,2,99,2022,Setembro,9,1,3485.4700000000003,2,2,alto,pouco
511,24,759,3865,2,2,99,2023,Fevereiro,2,3,3801.1800000000003,2,2,alto,alta
1602,273,1062,1862,1,1,0,2022,Agosto,8,3,2265.61,1,2,baixo,alta
1193,730,1729,536,1,1,0,2023,Agosto,8,2,1172.4,1,1,baixo,media
1174,744,1244,804,1,1,0,2020,Julho,7,1,1325.5800000000002,1,1,baixo,pouco
895,126,1575,3122,2,2,99,2019,Junho,6,3,3362.96,2,2,alto,alta
576,513,1438,2938,2,2,99,2022,Dezembro,12,1,3172.83,2,2,alto,pouco
563,211,684,3012,2,2,94,2021,Março,3,2,3043.84,2,2,alto,media
1811,358,614,2847,2,2,99,2019,Abril,4,3,3140.8500000000004,2,2,alto,alta
1689,521,674,1172,1,1,0,2019,Setembro,9,1,1615.78,1,1,baixo,pouco
1268,360,912,931,1,1,0,2022,Abril,4,1,1331.92,1,1,baixo,pouco
501,239,1636,3077,2,2,99,2021,Julho,7,3,3277.5,2,2,alto,alta
1895,725,1335,774,1,1,0,2023,Abril,4,2,1449.0300000000002,1,1,baixo,media
1973,699,851,639,1,1,0,2022,Abril,4,2,1243.27,1,1,baixo,media
1681,850,1005,2265,2,2,99,2023,Maio,5,3,2738.6400000000003,1,2,alto,alta
1068,935,1499,1754,1,1,0,2023,Maio,5,3,2260.36,1,2,baixo,alta
924,108,1813,1620,1,1,0,2020,Agosto,8,2,2028.7900000000002,1,1,baixo,media
1878,210,1026,1334,1,1,0,2019,Outubro,10,3,1814.74,1,2,baixo,alta
612,1360,1891,3161,2,2,99,2021,Setembro,9,2,3614.8900000000003,2,2,alto,media
916,188,992,1470,1,1,0,2019,Julho,7,1,1746.88,1,1,baixo,pouco
1325,499,695,2328,2,2,59,2021,Março,3,1,2610.3900000000003,1,1,alto,pouco
1777,553,874,1552,1,1,0,2021,Fevereiro,2,2,2025.5400000000002,1,1,baixo,media
1923,874,1264,2479,2,2,99,2020,Abril,4,3,3034.7900000000004,2,2,alto,alta
1595,1024,1838,3881,2,2,99,2022,Junho,6,1,4396.87,2,2,alto,pouco
1524,629,635,947,1,1,0,2020,Setembro,9,1,1388.38,1,1,baixo,pouco
539,1123,1709,3948,2,2,99,2020,Janeiro,1,3,4250.1900000000005,2,2,alto,alta
1671,398,1263,815,1,1,0,2019,Junho,6,2,1374.92,1,1,baixo,media
1923,767,1759,1489,1,2,67,2021,Novembro,11,1,2199.8500000000004,1,1,baixo,pouco
1201,1151,1723,726,1,1,0,2021,Outubro,10,3,1419.15,1,2,baixo,alta
532,1213,1354,728,1,1,0,2019,Maio,5,3,1234.31,1,2,baixo,alta
1821,1208,1212,1411,1,1,2,2021,Janeiro,1,1,2079.75,1,1,baixo,pouco
926,84,793,256,1,1,0,2019,Março,3,2,576.41,1,1,baixo,media
1848,154,605,3902,2,2,99,2022,Junho,6,2,4082.09,2,2,alto,media
802,1299,1633,3713,2,2,99,2020,Julho,7,1,4099.4400000000005,2,2,alto,pouco
564,912,1980,1074,1,1,0,2019,Maio,5,3,1626.48,1,2,baixo,alta
705,1114,1374,1509,1,1,0,2020,Outubro,10,1,1972.67,1,1,baixo,pouco
1692,674,1925,1394,1,1,2,2022,Janeiro,1,2,2084.29,1,1,baixo,media
816,1196,1651,3851,2,2,99,2022,Outubro,10,1,4214.97,2,2,alto,pouco
1588,1064,1594,3272,2,2,99,2020,Dezembro,12,3,3795.7000000000003,2,2,alto,alta
1354,297,918,2090,1,1,1,2023,Setembro,9,1,2404.9700000000003,1,1,baixo,pouco
1905,825,1542,1287,1,1,0,2023,Agosto,8,2,1979.22,1,1,baixo,media
1880,890,1019,2968,2,2,99,2019,Novembro,11,2,3432.67,2,2,alto,media
1617,743,1426,296,1,1,0,2019,Setembro,9,3,976.8,1,2,baixo,alta
599,103,646,3396,2,2,99,2022,Maio,5,1,3378.38,2,2,alto,pouco
812,35,1309,3102,2,2,99,2021,Julho,7,3,3262.78,2,2,alto,alta
1089,636,1259,2765,2,2,99,2022,Junho,6,1,3098.04,2,2,alto,pouco
602,1571,1717,2189,2,2,98,2023,Maio,5,1,2721.5600000000004,1,1,alto,pouco
1253,685,714,1878,1,1,0,2021,Outubro,10,2,2217.94,1,1,baixo,media
826,778,1615,1998,1,1,1,2019,Janeiro,1,2,2434.21,1,1,baixo,media
1976,1301,1922,3699,2,2,99,2020,Dezembro,12,1,4364.87,2,2,alto,pouco
535,398,1775,524,1,1,0,2022,Dezembro,12,3,988.6400000000001,1,2,baixo,alta
1170,27,1722,1073,1,1,0,2019,Abril,4,1,1541.23,1,1,baixo,pouco
1237,274,603,2454,2,1,37,2019,Novembro,11,3,2653.86,1,2,alto,alta
1275,19,501,3784,2,2,99,2022,Julho,7,3,3821.9500000000003,2,2,alto,alta
560,1448,1613,2150,2,2,72,2023,Fevereiro,2,2,2637.03,1,2,alto,media
1180,168,540,348,1,1,0,2023,Dezembro,12,1,675.52,1,1,baixo,pouco
774,8,896,3916,2,2,99,2023,Setembro,9,2,3921.38,2,2,alto,media
1113,1047,1312,277,1,1,0,2020,Agosto,8,1,893.58,1,1,baixo,pouco
1232,361,809,1257,1,1,0,2023,Abril,4,2,1605.6000000000001,1,1,baixo,media
731,424,1032,1774,1,1,0,2021,Outubro,10,2,2039.13,1,1,baixo,media
1617,283,676,3685,2,2,99,2021,Dezembro,12,3,3873.9800000000005,2,2,alto,alta
1003,190,1905,1798,1,1,0,2022,Setembro,9,3,2238.98,1,2,baixo,alta
934,521,1190,703,1,1,0,2020,Novembro,11,3,1138.8899999999999,1,2,baixo,alta
1561,885,1811,1783,2,2,97,2021,Fevereiro,2,2,2431.4900000000002,1,2,alto,media
981,75,688,1539,1,1,0,2020,Janeiro,1,3,1745.7400000000002,1,2,baixo,alta
989,670,804,2349,1,1,17,2022,Fevereiro,2,2,2615.65,1,1,baixo,media
1633,146,906,511,1,1,0,2020,Março,3,3,977.35,1,2,baixo,alta
1108,1298,1666,3254,2,2,99,2021,Maio,5,3,3741.4000000000005,2,2,alto,alta
1230,416,676,988,1,1,0,2021,Abril,4,1,1341.82,1,1,baixo,pouco
1379,207,1370,651,1,1,0,2023,Abril,4,3,1156.42,1,2,baixo,alta
1883,531,791,3724,2,2,99,2021,Outubro,10,1,4024.41,2,2,alto,pouco
600,320,747,1655,1,1,0,2023,Outubro,10,1,1832.9300000000003,1,1,baixo,pouco
1076,545,1300,2043,1,1,1,2023,Março,3,2,2423.65,1,1,baixo,media
1849,606,1123,3447,2,2,99,2020,Abril,4,1,3838.9400000000005,2,2,alto,pouco
1175,873,1394,1944,1,1,17,2023,Julho,7,3,2425.0,1,2,baixo,alta
1063,127,683,2910,2,2,99,2021,Novembro,11,1,3030.53,2,2,alto,pouco
555,214,1970,1686,1,1,0,2020,Julho,7,3,2067.25,1,2,baixo,alta
1958,304,637,1409,1,1,0,2021,Novembro,11,2,1841.01,1,1,baixo,media
1662,32,1509,3760,2,2,99,2022,Março,3,3,4067.13,2,2,alto,alta
801,650,879,1617,1,1,0,2020,Setembro,9,2,1917.3400000000001,1,1,baixo,media
1864,168,981,2686,2,2,99,2019,Abril,4,1,3040.23,2,2,alto,pouco
1703,286,1235,1046,1,1,0,2021,Maio,5,2,1569.16,1,1,baixo,media
961,291,1434,2782,2,2,99,2022,Julho,7,2,3063.96,2,2,alto,media
1660,76,1165,1531,1,1,0,2020,Janeiro,1,1,1958.19,1,1,baixo,pouco
579,808,1517,2908,2,2,99,2022,Outubro,10,1,3210.96,2,2,alto,pouco
1414,44,1118,3490,2,2,99,2021,Julho,7,1,3699.36,2,2,alto,pouco
1720,753,1353,2148,2,2,99,2019,Janeiro,1,3,2688.04,1,2,alto,alta
1250,11,1020,3314,2,2,99,2023,Agosto,8,3,3482.05,2,2,alto,alta
1029,264,956,582,1,1,0,2020,Agosto,8,3,957.47,1,2,baixo,alta
1075,271,1769,3927,2,2,99,2021,Outubro,10,3,4199.27,2,2,alto,alta
1129,1070,1079,1857,1,1,0,2020,Janeiro,1,3,2309.86,1,2,baixo,alta
1063,201,582,2668,2,2,76,2019,Maio,5,2,2801.2799999999997,1,2,alto,media
765,6,793,1066,1,1,0,2019,Maio,5,1,1277.76,1,1,baixo,pouco
1177,945,1923,1887,1,2,89,2023,Julho,7,2,2485.69,1,1,baixo,media
1234,209,725,3351,2,2,99,2021,Maio,5,3,3490.66,2,2,alto,alta
1128,609,1370,2982,2,2,99,2019,Julho,7,1,3321.59,2,2,alto,pouco
689,256,823,3585,2,2,99,2022,Abril,4,1,3629.0000000000005,2,2,alto,pouco
1994,667,711,454,1,1,0,2022,Abril,4,2,1045.02,1,1,baixo,media
649,344,1551,739,1,1,0,2022,Março,3,2,1156.3600000000001,1,1,baixo,media
1030,1111,1812,2858,2,2,99,2020,Outubro,10,1,3358.21,2,2,alto,pouco
912,329,1053,2330,1,1,2,2020,Abril,4,1,2572.88,1,1,baixo,pouco
1496,549,1383,3571,2,2,99,2022,Junho,6,3,3925.6600000000003,2,2,alto,alta
560,80,1327,2167,1,1,0,2019,Julho,7,3,2365.77,1,2,baixo,alta
1431,156,952,461,1,1,0,2021,Maio,5,2,903.41,1,1,baixo,media
1045,1078,1564,2137,2,2,97,2021,Agosto,8,2,2645.01,1,2,alto,media
